,Country,Energy Supply,Energy Supply per Capita,% Renewable
1,Afghanistan,321000000.0,10.0,78.66928
2,Albania,102000000.0,35.0,100.0
3,Algeria,1959000000.0,51.0,0.55101
4,American Samoa,,,0.641026
5,Andorra,9000000.0,121.0,88.69565
6,Angola,642000000.0,27.0,70.90909
7,Anguilla,2000000.0,136.0,0.0
8,Antigua and Barbuda,8000000.0,84.0,0.0
9,Argentina,3378000000.0,79.0,24.06452
10,Armenia,143000000.0,48.0,28.23606
11,Aruba,12000000.0,120.0,14.87069
12,Australia,5386000000.0,231.0,11.81081
13,Austria,1391000000.0,164.0,72.45282
14,Azerbaijan,567000000.0,60.0,6.384345
15,Bahamas,45000000.0,118.0,0.0
16,Bahrain,574000000.0,425.0,0.0
17,Bangladesh,1625000000.0,10.0,1.966329
18,Barbados,19000000.0,69.0,0.0
19,Belarus,1142000000.0,120.0,0.463389
20,Belgium,2338000000.0,210.0,9.959739
21,Belize,13000000.0,39.0,64.69003
22,Benin,170000000.0,16.0,0.0
23,Bermuda,6000000.0,88.0,0.0
24,Bhutan,63000000.0,83.0,100.0
25,Bolivia,336000000.0,32.0,31.47712
26,"Bonaire, Sint Eustatius and Saba",5000000.0,213.0,0.0
27,Bosnia and Herzegovina,266000000.0,70.0,41.46467
28,Botswana,86000000.0,39.0,0.131406
29,Brazil,12149000000.0,59.0,69.64803
30,British Virgin Islands,2000000.0,85.0,0.0
31,Brunei Darussalam,127000000.0,310.0,0.045434
32,Bulgaria,703000000.0,97.0,17.23461
33,Burkina Faso,164000000.0,10.0,14.50068
34,Burundi,58000000.0,6.0,86.79245
35,Cabo Verde,7000000.0,15.0,21.22762
36,Cambodia,250000000.0,17.0,57.31159
37,Cameroon,307000000.0,14.0,70.88626
38,Canada,10431000000.0,296.0,61.94543
39,Cayman Islands,8000000.0,131.0,0.0
40,Central African Republic,23000000.0,5.0,85.63536
41,Chad,77000000.0,6.0,0.0
42,Chile,1613000000.0,92.0,28.00657
43,China,127191000000.0,93.0,19.75491
44,Hong Kong,585000000.0,82.0,0.0
45,"China, Macao Special Administrative Region",47000000.0,83.0,0.0
46,Colombia,1513000000.0,32.0,63.00284
47,Comoros,5000000.0,7.0,11.62791
48,Congo,102000000.0,23.0,57.74887
49,Cook Islands,1000000.0,48.0,0.0
50,Costa Rica,222000000.0,47.0,88.73642
51,Côte d'Ivoire,547000000.0,25.0,22.82278
52,Croatia,321000000.0,75.0,64.28412
53,Cuba,585000000.0,51.0,0.663532
54,Curaçao,78000000.0,502.0,0.0
55,Cyprus,82000000.0,71.0,6.480186
56,Czech Republic,1751000000.0,166.0,7.067134
57,Democratic People's Republic of Korea,612000000.0,25.0,70.18029
58,Democratic Republic of the Congo,888000000.0,12.0,99.5943
59,Denmark,725000000.0,129.0,33.53766
60,Djibouti,11000000.0,13.0,0.0
61,Dominica,2000000.0,28.0,36.63366
62,Dominican Republic,339000000.0,33.0,11.2506
63,Ecuador,680000000.0,43.0,47.71486
64,Egypt,3422000000.0,39.0,8.805713
65,El Salvador,176000000.0,29.0,56.44505
66,Equatorial Guinea,73000000.0,91.0,6.363636
67,Eritrea,34000000.0,7.0,0.550964
68,Estonia,258000000.0,195.0,4.180791
69,Ethiopia,1394000000.0,15.0,99.90825
70,Faeroe Islands,9000000.0,179.0,38.56655
71,Falkland Islands,1000000.0,258.0,33.33333
72,Fiji,31000000.0,36.0,62.00466
73,Finland,1374000000.0,252.0,19.53657
74,France,10597000000.0,166.0,17.02028
75,French Guiana,13000000.0,52.0,62.00466
76,French Polynesia,12000000.0,44.0,26.8556
77,Gabon,99000000.0,60.0,37.5
78,Gambia,14000000.0,7.0,0.0
79,Georgia,163000000.0,40.0,82.22487
80,Germany,13261000000.0,165.0,17.90153
81,Ghana,316000000.0,12.0,63.10263
82,Gibraltar,8000000.0,245.0,0.0
83,Greece,993000000.0,90.0,24.79528
84,Greenland,9000000.0,166.0,78.125
85,Grenada,5000000.0,43.0,0.0
86,Guadeloupe,33000000.0,70.0,14.81481
87,Guam,,,0.0
88,Guatemala,452000000.0,29.0,49.52168
89,Guernsey,0.0,6.0,0.0
90,Guinea,145000000.0,12.0,48.44221
91,Guinea-Bissau,29000000.0,17.0,0.0
92,Guyana,34000000.0,45.0,0.0
93,Haiti,172000000.0,16.0,12.76018
94,Honduras,217000000.0,28.0,37.76319
95,Hungary,947000000.0,95.0,3.263634
96,Iceland,312000000.0,957.0,99.9724
97,India,33195000000.0,26.0,14.96908
98,Indonesia,8754000000.0,35.0,12.18904
99,Iran,9172000000.0,119.0,5.707721
100,Iraq,2077000000.0,61.0,7.871554
101,Ireland,548000000.0,117.0,20.92106
102,Isle of Man,0.0,4.0,0.793651
103,Israel,997000000.0,128.0,0.872525
104,Italy,6530000000.0,109.0,33.66723
105,Jamaica,108000000.0,39.0,5.615602
106,Japan,18984000000.0,149.0,10.23282
107,Jersey,3000000.0,34.0,0.0
108,Jordan,325000000.0,45.0,0.335979
109,Kazakhstan,3548000000.0,208.0,8.112784
110,Kenya,873000000.0,20.0,73.7571
111,Kiribati,1000000.0,8.0,0.0
112,Kuwait,1475000000.0,410.0,0.0
113,Kyrgyzstan,167000000.0,29.0,93.47655
114,Lao People's Democratic Republic,85000000.0,13.0,93.29009
115,Latvia,183000000.0,91.0,48.83234
116,Lebanon,289000000.0,55.0,6.610478
117,Lesotho,48000000.0,23.0,100.0
118,Liberia,83000000.0,19.0,0.0
119,Libya,707000000.0,113.0,0.0
120,Liechtenstein,3000000.0,79.0,96.47059
121,Lithuania,282000000.0,95.0,41.03318
122,Luxembourg,168000000.0,307.0,45.53324
123,Madagascar,166000000.0,7.0,50.81556
124,Malawi,101000000.0,6.0,89.13565
125,Malaysia,3417000000.0,116.0,7.754589
126,Maldives,15000000.0,43.0,0.0
127,Mali,66000000.0,4.0,64.76821
128,Malta,31000000.0,75.0,1.419698
129,Marshall Islands,1000000.0,28.0,0.0
130,Martinique,33000000.0,84.0,2.60771
131,Mauritania,51000000.0,13.0,0.0
132,Mauritius,58000000.0,46.0,3.531856
133,Mexico,7944000000.0,64.0,12.9134
134,Micronesia,2000000.0,21.0,2.941176
135,Mongolia,475000000.0,166.0,0.0
136,Montenegro,42000000.0,67.0,65.58152
137,Montserrat,1000000.0,153.0,0.0
138,Morocco,796000000.0,23.0,15.8918
139,Mozambique,469000000.0,18.0,94.63087
140,Myanmar,682000000.0,13.0,72.04213
141,Namibia,63000000.0,27.0,95.79439
142,Nauru,1000000.0,60.0,0.0
143,Nepal,458000000.0,16.0,99.68051
144,Netherlands,3199000000.0,190.0,6.324659
145,New Caledonia,51000000.0,200.0,20.43097
146,New Zealand,876000000.0,196.0,72.87313
147,Nicaragua,149000000.0,25.0,40.76387
148,Niger,87000000.0,5.0,0.0
149,Nigeria,5589000000.0,32.0,18.39025
150,Niue,0.0,65.0,0.0
151,Northern Mariana Islands,,,0.0
152,Norway,1388000000.0,273.0,97.63558
153,Oman,1015000000.0,260.0,0.0
154,Pakistan,2868000000.0,16.0,31.87684
155,Palau,3000000.0,152.0,18.75
156,Panama,158000000.0,42.0,57.50948
157,Papua New Guinea,144000000.0,20.0,23.94636
158,Paraguay,228000000.0,35.0,99.99503
159,Peru,858000000.0,28.0,51.96861
160,Philippines,1781000000.0,18.0,26.17264
161,Poland,4121000000.0,107.0,5.537899
162,Portugal,899000000.0,86.0,53.3403
163,Puerto Rico,56000000.0,15.0,1.080808
164,Qatar,1396000000.0,664.0,0.0
165,South Korea,11007000000.0,221.0,2.279353
166,Republic of Moldova,93000000.0,23.0,5.082873
167,Réunion,59000000.0,70.0,28.29719
168,Romania,1339000000.0,68.0,34.3845
169,Russian Federation,30709000000.0,214.0,17.28868
170,Rwanda,95000000.0,9.0,35.83535
171,Saint Helena,0.0,40.0,9.090909
172,Saint Kitts and Nevis,4000000.0,73.0,0.0
173,Saint Lucia,6000000.0,33.0,0.0
174,Saint Pierre and Miquelon,1000000.0,162.0,2.12766
175,Saint Vincent and the Grenadines,3000000.0,28.0,16.66667
176,Samoa,4000000.0,22.0,31.35593
177,Sao Tome and Principe,3000000.0,14.0,10.44776
178,Saudi Arabia,7985000000.0,264.0,0.000352
179,Senegal,154000000.0,11.0,1.998237
180,Serbia,618000000.0,69.0,27.21619
181,Seychelles,9000000.0,94.0,1.977401
182,Sierra Leone,67000000.0,11.0,64.02439
183,Singapore,1120000000.0,207.0,0.0
184,Sint Maarten,12000000.0,327.0,0.0
185,Slovakia,711000000.0,131.0,20.21712
186,Slovenia,287000000.0,139.0,31.86424
187,Solomon Islands,6000000.0,11.0,0.0
188,Somalia,126000000.0,12.0,0.0
189,South Africa,6341000000.0,119.0,1.687019
190,South Sudan,28000000.0,2.0,0.423729
191,Spain,4923000000.0,106.0,37.96859
192,Sri Lanka,388000000.0,19.0,59.57323
193,State of Palestine,61000000.0,14.0,0.0
194,Sudan,608000000.0,16.0,78.41048
195,Suriname,34000000.0,65.0,22.02381
196,Swaziland,49000000.0,39.0,40.67797
197,Sweden,2044000000.0,212.0,46.59846
198,Switzerland,1113000000.0,136.0,57.74548
199,Syrian Arab Republic,542000000.0,28.0,11.56827
200,Tajikistan,106000000.0,13.0,99.74292
201,Thailand,5336000000.0,79.0,4.305189
202,The former Yugoslav Republic of Macedonia,117000000.0,56.0,26.14047
203,Timor-Leste,7000000.0,6.0,0.0
204,Togo,134000000.0,19.0,80.18018
205,Tonga,3000000.0,28.0,0.0
206,Trinidad and Tobago,824000000.0,611.0,0.0
207,Tunisia,430000000.0,39.0,3.492547
208,Turkey,4897000000.0,64.0,28.53669
209,Turkmenistan,1102000000.0,210.0,0.0
210,Turks and Caicos Islands,3000000.0,85.0,0.0
211,Tuvalu,,,0.0
212,Uganda,452000000.0,12.0,68.01818
213,Ukraine,4844000000.0,107.0,8.067312
214,United Arab Emirates,2710000000.0,300.0,0.0
215,United Kingdom,7920000000.0,124.0,10.60047
216,United Republic of Tanzania,994000000.0,20.0,31.07284
217,United States,90838000000.0,286.0,11.57098
218,United States Virgin Islands,,,0.0
219,Uruguay,196000000.0,58.0,71.60504
220,Uzbekistan,1798000000.0,62.0,21.32841
221,Vanuatu,3000000.0,10.0,14.70588
222,Venezuela,2871000000.0,95.0,67.83452
223,Viet Nam,2554000000.0,28.0,45.32152
224,Wallis and Futuna Islands,0.0,26.0,0.0
225,Yemen,344000000.0,13.0,0.0
226,Zambia,400000000.0,26.0,99.71467
227,Zimbabwe,480000000.0,32.0,52.53612
